# y+ ()                 
# Time                  	patch                   	min                     	max                     	average                 
1898.5                  	Top	1.2394729096164360e+02	1.5977160832931429e+02	1.3793969818004646e+02
1898.5                  	Bottom	1.2241111053587218e+02	1.5811379508599924e+02	1.3914174355435176e+02
1898.5                  	circle	1.3545915972329514e+01	6.6352551376861612e+01	4.4516497438794019e+01
1899                    	Top	1.2394937059051998e+02	1.5977303102596656e+02	1.3794350963699748e+02
1899                    	Bottom	1.2240825292152267e+02	1.5811646584683874e+02	1.3913763537796544e+02
1899                    	circle	1.4089428326824278e+01	6.6346236470114476e+01	4.4491789009899151e+01
1899.5                  	Top	1.2395273902174375e+02	1.5977104246890300e+02	1.3794501004037062e+02
1899.5                  	Bottom	1.2240558236731445e+02	1.5811844300079915e+02	1.3913584240090066e+02
1899.5                  	circle	1.5445248552656730e+01	6.6374600869960432e+01	4.4530729494016370e+01
1900                    	Top	1.2395568982143935e+02	1.5976663660017189e+02	1.3794322502868579e+02
1900                    	Bottom	1.2240481614490943e+02	1.5811923135209346e+02	1.3913711944223525e+02
1900                    	circle	1.6869539300297266e+01	6.6424151856641316e+01	4.4612853397297634e+01
1900.5                  	Top	1.2395703242137496e+02	1.5976165631003110e+02	1.3793921747961559e+02
1900.5                  	Bottom	1.2240587551343917e+02	1.5811809549605093e+02	1.3914093938666258e+02
1900.5                  	circle	1.7708948887869106e+01	6.6472678098674720e+01	4.4700325949676973e+01
1901                    	Top	1.2395616441702276e+02	1.5975834427386144e+02	1.3793476132464289e+02
1901                    	Bottom	1.2240827469806838e+02	1.5811557742138902e+02	1.3914545762699791e+02
1901                    	circle	1.7692871129768005e+01	6.6498513487417640e+01	4.4757105319318669e+01
1901.5                  	Top	1.2395323547561131e+02	1.5975833425677158e+02	1.3793173061915087e+02
1901.5                  	Bottom	1.2241120733415035e+02	1.5811311914979899e+02	1.3914872764408133e+02
1901.5                  	circle	1.6877587887791396e+01	6.6489949326106810e+01	4.4758032902926224e+01
1902                    	Top	1.2394994274786515e+02	1.5976166607331135e+02	1.3793182207194545e+02
1902                    	Bottom	1.2241306938809748e+02	1.5811147391584387e+02	1.3914915971079745e+02
1902                    	circle	1.5511675885107566e+01	6.6449163488991246e+01	4.4699258103278204e+01
1902.5                  	Top	1.2394765247289577e+02	1.5976663297188921e+02	1.3793487067413332e+02
1902.5                  	Bottom	1.2241291691973346e+02	1.5811147295631818e+02	1.3914650600772805e+02
1902.5                  	circle	1.4185154824800662e+01	6.6395860704220780e+01	4.4604430905475738e+01
1903                    	Top	1.2394722170484198e+02	1.5977129566041026e+02	1.3793928886264584e+02
1903                    	Bottom	1.2241133420663975e+02	1.5811355648680950e+02	1.3914217575842915e+02
1903                    	circle	1.3551697673104712e+01	6.6354945170786038e+01	4.4521912944629292e+01
1903.5                  	Top	1.2394911212898265e+02	1.5977304032975002e+02	1.3794321996195504e+02
1903.5                  	Bottom	1.2240853723471025e+02	1.5811622841323035e+02	1.3913794571231409e+02
1903.5                  	circle	1.3996833967263202e+01	6.6345326632608547e+01	4.4491352437458055e+01
1904                    	Top	1.2395241220067689e+02	1.5977132188994756e+02	1.3794498598038427e+02
1904                    	Bottom	1.2240575876434806e+02	1.5811829510103757e+02	1.3913586435534498e+02
1904                    	circle	1.5307123410993773e+01	6.6370866479328612e+01	4.4524828131779543e+01
1904.5                  	Top	1.2395547017129272e+02	1.5976710448170755e+02	1.3794350113660448e+02
1904.5                  	Bottom	1.2240481099936972e+02	1.5811924249909194e+02	1.3913687643301739e+02
1904.5                  	circle	1.6754601079873677e+01	6.6419248235179168e+01	4.4604426576731854e+01
1905                    	Top	1.2395698483988473e+02	1.5976207843009533e+02	1.3793962943945948e+02
1905                    	Bottom	1.2240570963902233e+02	1.5811827437095752e+02	1.3914051969068143e+02
1905                    	circle	1.7666592908384192e+01	6.6468875780502316e+01	4.4693082578760517e+01
1905.5                  	Top	1.2395632747359784e+02	1.5975851909376027e+02	1.3793511668404668e+02
1905.5                  	Bottom	1.2240801838826175e+02	1.5811583389826117e+02	1.3914505910260252e+02
1905.5                  	circle	1.7730044156815982e+01	6.6497524810542600e+01	4.4753938151791850e+01
1906                    	Top	1.2395354156862709e+02	1.5975817770449328e+02	1.3793189394989730e+02
1906                    	Bottom	1.2241097075924387e+02	1.5811334970659416e+02	1.3914853409696090e+02
1906                    	circle	1.6982935431988281e+01	6.6492304963894085e+01	4.4760652524202150e+01
1906.5                  	Top	1.2395022502955747e+02	1.5976126000910946e+02	1.3793167850766233e+02
1906.5                  	Bottom	1.2241297496702900e+02	1.5811156393384860e+02	1.3914925964765294e+02
1906.5                  	circle	1.5647000302975441e+01	6.6453821460250225e+01	4.4706820658092745e+01
1907                    	Top	1.2394779581589198e+02	1.5976614195310887e+02	1.3793450507138888e+02
1907                    	Bottom	1.2241299119087246e+02	1.5811137019713482e+02	1.3914684417418690e+02
1907                    	circle	1.4287397492787104e+01	6.6400633032129804e+01	4.4613432202532806e+01
1907.5                  	Top	1.2394715749977436e+02	1.5977095185779496e+02	1.3793886550080279e+02
1907.5                  	Bottom	1.2241153198227778e+02	1.5811330356729974e+02	1.3914259672135481e+02
1907.5                  	circle	1.3567277491665193e+01	6.6357614078341498e+01	4.4527795520053296e+01
1908                    	Top	1.2394882037791410e+02	1.5977304289788268e+02	1.3794292237207367e+02
1908                    	Bottom	1.2240882225849974e+02	1.5811601316354762e+02	1.3913827275872120e+02
1908                    	circle	1.3911353033783842e+01	6.6344657213263247e+01	4.4491434761932737e+01
1908.5                  	Top	1.2395209341784513e+02	1.5977158966326564e+02	1.3794495846754626e+02
1908.5                  	Bottom	1.2240594757406434e+02	1.5811813733076616e+02	1.3913591558330265e+02
1908.5                  	circle	1.5168169218796269e+01	6.6367261538442690e+01	4.4519308265000433e+01
1909                    	Top	1.2395523643090716e+02	1.5976756570673328e+02	1.3794375705647582e+02
1909                    	Bottom	1.2240482283489804e+02	1.5811923734501784e+02	1.3913665815167178e+02
1909                    	circle	1.6634673942740093e+01	6.6414354950318184e+01	4.4596076678524732e+01
